#Encoding of BACnet Engineering Units;
#Code;Unit Text
166;METERS-PER-SECOND-PER-SECOND
0;SQUARE-METERS
116;SQUARE-CENTIMETERS
1;SQUARE-FEET
115;SQUARE-INCHES
105;CURRENCY1
106;CURRENCY2
107;CURRENCY3
108;CURRENCY4
109;CURRENCY5
110;CURRENCY6
111;CURRENCY7
112;CURRENCY8
113;CURRENCY9
114;CURRENCY10
2;MILLIAMPERES
3;AMPERES
167;AMPERES-PER-METER
168;AMPERES-PER-SQUARE-METER
169;AMPERE-SQUARE-METERS
199;DECIBELS
200;DECIBELS-MILLIVOLT
201;DECIBELS-VOLT
170;FARADS
171;HENRYS
4;OHMS
237;OHM-METER-SQUARED-PER-METER
172;OHM-METERS
145;MILLIOHMS
122;KILOHMS
123;MEGOHMS
190;MICROSIEMENS
202;MILLISIEMENS
173;SIEMENS
174;SIEMENS-PER-METER
175;TESLAS
5;VOLTS
124;MILLIVOLTS
6;KILOVOLTS
7;MEGAVOLTS
8;VOLT-AMPERES
9;KILOVOLT-AMPERES
10;MEGAVOLT-AMPERES
11;VOLT-AMPERES-REACTIVE
12;KILOVOLT-AMPERES-REACTIVE
13;MEGAVOLT-AMPERES-REACTIVE
176;VOLTS-PER-DEGREE-KELVIN
177;VOLTS-PER-METER
14;DEGREES-PHASE
15;POWER-FACTOR
178;WEBERS
238;AMPERE-SECONDS
239;VOLT-AMPERE-HOURS
240;KILOVOLT-AMPERE-HOURS
241;MEGAVOLT-AMPERE-HOURS
242;VOLT-AMPERE-HOURS-REACTIVE
243;KILOVOLT-AMPERE-HOURS-REACTIVE
244;MEGAVOLT-AMPERE-HOURS-REACTIVE
245;VOLT-SQUARE-HOURS
246;AMPERE-SQUARE-HOURS
16;JOULES
17;KILOJOULES
125;KILOJOULES-PER-KILOGRAM
126;MEGAJOULES
18;WATT-HOURS
19;KILOWATT-HOURS
146;MEGAWATT-HOURS
203;WATT-HOURS-REACTIVE
204;KILOWATT-HOURS-REACTIVE
205;MEGAWATT-HOURS-REACTIVE
20;BTUS
147;KILO-BTUS
148;MEGA-BTUS
21;THERMS
22;TON-HOURS
23;JOULES-PER-KILOGRAM-DRY-AIR
149;KILOJOULES-PER-KILOGRAM-DRY-AIR
150;MEGAJOULES-PER-KILOGRAM-DRY-AIR
24;BTUS-PER-POUND-DRY-AIR
117;BTUS-PER-POUND
127;JOULES-PER-DEGREE-KELVIN
151;KILOJOULES-PER-DEGREE-KELVIN
152;MEGAJOULES-PER-DEGREE-KELVIN
128;JOULES-PER-KILOGRAM-DEGREE-KELVIN
153;NEWTON
25;CYCLES-PER-HOUR
26;CYCLES-PER-MINUTE
27;HERTZ
129;KILOHERTZ
130;MEGAHERTZ
131;PER-HOUR
28;GRAMS-OF-WATER-PER-KILOGRAM-DRY-AIR
29;PERCENT-RELATIVE-HUMIDITY
194;MICROMETERS
30;MILLIMETERS
118;CENTIMETERS
193;KILOMETERS
31;METERS
32;INCHES
33;FEET
179;CANDELAS
180;CANDELAS-PER-SQUARE-METER
34;WATTS-PER-SQUARE-FOOT
35;WATTS-PER-SQUARE-METER
36;LUMENS
37;LUXES
38;FOOT-CANDLES
196;MILLIGRAMS
195;GRAMS
39;KILOGRAMS
40;POUNDS-MASS
41;TONS
154;GRAMS-PER-SECOND
155;GRAMS-PER-MINUTE
42;KILOGRAMS-PER-SECOND
43;KILOGRAMS-PER-MINUTE
44;KILOGRAMS-PER-HOUR
119;POUNDS-MASS-PER-SECOND
45;POUNDS-MASS-PER-MINUTE
46;POUNDS-MASS-PER-HOUR
156;TONS-PER-HOUR
132;MILLIWATTS
47;WATTS
48;KILOWATTS
49;MEGAWATTS
50;BTUS-PER-HOUR
157;KILO-BTUS-PER-HOUR
247;JOULE-PER-HOURS
51;HORSEPOWER
52;TONS-REFRIGERATION
53;PASCALS
133;HECTOPASCALS
54;KILOPASCALS
134;MILLIBARS
55;BARS
56;POUNDS-FORCE-PER-SQUARE-INCH
206;MILLIMETERS-OF-WATER
